"MS_NR";"LGD_NR";"M_NAME1";"BAUJAHR";"FKTFAEHG";"ANZ_ANALYSEN";"BEGINN";"ENDE";"Chem_ Mon_ operativ";"Chem_ Mon_tiefeGWK";"Chem_ Mon_ueberblick";"EUA_MN_alt_ bis_2015";"EUA_MN_ab_2015";"EUA_TeilMN_LW";"EU_NO3_MN_alt_bis_2015"
"10L54154002";"1424";"WESTREFELD F1";"1997";"voll funktionsfähig";13;1999;2015;"ja";;"ja";;;;
"10L51080002";"2052";"NORDERHEISTEDT NW";"1994";"voll funktionsfähig";32;1995;2015;;;;"ja";"ja";"ja";
"10L51131002";"2108";"WESTERBORSTEL SW F2";"1986";"voll funktionsfähig";21;1987;2015;;;;"ja";;;
"10L51049016";"2136";"APELDÖR F1";"1993";"voll funktionsfähig";15;1993;2015;"ja";;"ja";;;;
"10L51100015";"2192";"GLÜSINGERBERGEN F1";"1994";"voll funktionsfähig";14;1994;2015;"ja";;"ja";;;;
"10L51053005";"2249";"BERGEWÖHRDEN";"1974";"voll funktionsfähig";6;1974;2013;;;"ja";;;;
"10L51097021";"2362";"ST. MICHAELISDONN HOPEN";"1992";"voll funktionsfähig";24;1993;2015;;;;"ja";;;
"10L51010001";"2478";"BRICKELN KUHLENBERG";"1983";"voll funktionsfähig";15;1983;2015;"ja";;"ja";;;;
"10L51078001";"2481";"FARNEWINKEL F1";"1983";"voll funktionsfähig";39;1983;2015;"ja";;"ja";"ja";"ja";"ja";
"10L51083024";"2604";"LEHRSBÜTTEL F1";"1990";"voll funktionsfähig";15;1990;2015;"ja";;"ja";;;;
"10L51001026";"2617";"ALBERSDORF BRAHMKAMP F1";"1990";"voll funktionsfähig";13;1990;2013;"ja";;"ja";;;;
"10L51138019";"2631";"TENSBÜTTEL OST F1";"1990";"voll funktionsfähig";11;1990;2013;"ja";;"ja";;;;
"10L51126002";"2633";"WENNBÜTTEL NORD F1";"1990";"voll funktionsfähig";12;1990;2015;"ja";;"ja";;;;
"10L51016008";"2651";"BURG RAMSBERG";"1991";"voll funktionsfähig";15;1991;2015;"ja";;"ja";;;;
"10L51082026";"2660";"OSTERWOHLD FORELLENHOF F1";"1991";"voll funktionsfähig";14;1991;2015;"ja";;"ja";;;;
"10L51114005";"2679";"TELLINGSTEDT HÜGELGRAB F1";"1992";"voll funktionsfähig";14;1992;2015;"ja";;"ja";;;;
"10L51138021";"2686";"TENSBÜTTEL OST F1A";"2014";"voll funktionsfähig";2;2014;2015;"ja";;"ja";;;;
"10L51032003";"2921";"QUICKBORNER SCHANZEN F1";"1989";"voll funktionsfähig";12;1989;2015;"ja";;"ja";;;;
"10L51001042";"2967";"ALBERSDORF BRAHMKAMP F1A";"2014";"voll funktionsfähig";2;2014;2015;"ja";;"ja";;;;
"10L61116001";"3341";"WRIST F2";"1977";"voll funktionsfähig";4;1977;2012;;"ja";;;;;
"10L61011002";"3351";"BESDORF F2";"1977";"voll funktionsfähig";6;1996;2014;;"ja";;;;;
"10L60002002";"3370";"BECKERSHOF F2";"1977";"voll funktionsfähig";5;1978;2014;;"ja";;;;;
"10L61020002";"3428";"NORDBÜTTEL";"1981";"voll funktionsfähig";13;1986;2014;;;"ja";;;;
"10L61036002";"3430";"HENNSTEDT";"1981";"voll funktionsfähig";13;1986;2015;"ja";;"ja";;;;
"10L61082004";"3434";"OLDENDORF OST F2";"1983";"voll funktionsfähig";4;1983;2010;;"ja";;;;;
"10L61046004";"3443";"ITZEHOE PLANSCHBECKEN";"1984";"voll funktionsfähig";13;1984;2015;"ja";;"ja";;;;
"10L61042006";"3447";"HOLSTEINER WALD";"1984";"voll funktionsfähig";12;1984;2015;"ja";;"ja";;;;
"10L61047008";"3453";"SAAREN F2";"1984";"voll funktionsfähig";3;1984;2010;;"ja";;;;;
"10L58167004";"3462";"WAPELFELD SÜD F2";"1984";"voll funktionsfähig";18;1984;2010;;"ja";;;;;
"10L61006001";"3463";"BROKREIHE";"1984";"voll funktionsfähig";24;1984;2014;;;"ja";;;;
"10L60069001";"3472";"ROHLSTORF F1";"1986";"voll funktionsfähig";37;1986;2015;"ja";;"ja";"ja";"ja";"ja";
"10L60026001";"3475";"GÖNNEBEK";"1975";"voll funktionsfähig";17;1975;2011;;"ja";;;;;
"10L61022005";"3502";"DÄGELING TRUPPENÜBUNGSPLATZ F1";"1985";"voll funktionsfähig";12;1996;2015;"ja";;"ja";;;;
"10L56039004";"3528";"PINNEBERG DROSTEIPARK";"1986";"voll funktionsfähig";14;1986;2015;"ja";;"ja";;;;
"10L60054013";"3656";"LENTFÖHRDEN WEST F4";"1989";"voll funktionsfähig";18;1989;2012;;"ja";;;;;
"10L60054014";"3657";"LENTFÖHRDEN WEST F5";"1989";"voll funktionsfähig";18;1989;2012;;"ja";;;;;
"10L56016004";"3658";"GR. NORDENDE UTWEG F1";"1989";"voll funktionsfähig";14;1989;2014;;;"ja";;;;
"10L56016005";"3659";"GR. NORDENDE UTWEG F2";"1989";"voll funktionsfähig";5;1989;2013;;"ja";;;;;
"10L56016006";"3660";"GR. NORDENDE UTWEG F3";"1989";"voll funktionsfähig";6;1989;2013;;"ja";;;;;
"10L60045001";"3661";"KATTENDORF F1";"1989";"voll funktionsfähig";13;1989;2015;"ja";;"ja";;;;
"10L61044015";"3670";"HORST SCHULE F2";"1989";"voll funktionsfähig";27;1989;2015;;"ja";;"ja";;;
"10L60047006";"3671";"KISDORF RATHKRÜGEN F1";"1989";"voll funktionsfähig";13;1989;2015;"ja";;"ja";;;;
"10L61044020";"3681";"HORSTMÜHLE GALGENBERG";"1989";"voll funktionsfähig";13;1989;2015;"ja";;"ja";;;;
"10L56036002";"3724";"MOORREGE EHEM. SCHULE";"1989";"voll funktionsfähig";13;1989;2015;"ja";;"ja";;"ja";;
"10L56021001";"3729";"HASLOH ELSENSEE";"1990";"voll funktionsfähig";15;1990;2015;"ja";;"ja";;;;
"10L56021003";"3731";"HASLOH WEST F2";"1990";"voll funktionsfähig";17;1990;2014;;"ja";;;;;
"10L56021004";"3732";"HASLOH WEST F3";"1990";"voll funktionsfähig";17;1990;2014;;"ja";;;;;
"10L56028008";"3738";"HOLMER SANDBERGE F3";"1990";"voll funktionsfähig";5;1990;2013;;"ja";;;;;
"10L56003003";"3767";"NETTELLOHE";"1991";"voll funktionsfähig";15;1991;2015;"ja";;"ja";;;;
"10L56051001";"3776";"WESTERHORN BIRKENWEG";"1991";"voll funktionsfähig";14;1991;2015;"ja";;"ja";;"ja";;
"10L60014023";"3798";"BOCKHORN FORSTHAUS F1A";"1992";"voll funktionsfähig";34;1993;2015;"ja";;"ja";"ja";"ja";;
"10L60068003";"3800";"TRAPPENKAMP F1";"1986";"voll funktionsfähig";19;1991;2009;"ja";;"ja";;;;
"10L60068004";"3801";"TRAPPENKAMP F2";"1986";"voll funktionsfähig";16;1991;2011;;"ja";;;;;
"10L61003004";"3919";"AGETHORST";"1996";"voll funktionsfähig";12;1996;2015;"ja";;"ja";;;;
"10L60010014";"3921";"BLUNK NW";"1994";"beseitigt";27;1995;2010;;;;"ja";;;
